setting,n,candidate,score,success,diverged,cm_samples,diff_samples,seconds_per_run,peak_mem_mb,comparator,diff_vs_comparator,diff_vs_comparator_p,diff_vs_baseline,diff_vs_baseline_p
2D,8,baseline,0.30081349109784483,0.3,0,792,792,0.10778020829966409,310.421875,,,,,
2D,8,trust_noise1,0.2243056620201807,0.7,0,792,792,0.11063551670013112,312.90625,baseline,0.07650782907766414,0.31148442577871105,0.07650782907766414,0.31148442577871105
2D,8,backsel_uni_k2_trust,0.13643315641248127,0.8,0,990,198,0.1496433790998708,316.34375,trust_noise1,0.08787250560769944,0.2564871756412179,0.1643803346853636,0.03334833258337083
2D,8,backsel_is_k2_trust,0.2366746968017195,0.8,0,974.5,182.5,0.15186270420017536,317.5,trust_noise1,-0.012369034781538786,0.9105544722763862,0.06413879429612536,0.4602269886505675
2D,8,backsel_clust_k2_trust,0.12112444826097282,0.9,0,990,198,0.1512895166000817,315.484375,trust_noise1,0.10318121375920787,0.2710864456777161,0.179689042836872,0.027248637568121594
2D,8,replay_cohort16_trust,0.32730616317100797,0.6,0,792,792,0.11165789160004351,308.875,trust_noise1,-0.10300050115082729,0.39318034098295085,-0.026492672073163148,0.8200089995500225
2D,8,backsel_is_k4_cohort16_trust,0.19552377355971867,0.6,0,1106.5,314.5,0.15394581670043408,316.015625,replay_cohort16_trust,0.1317823896112893,0.21058947052647367,0.10528971753812616,0.12339383030848458
