setting,bucket,rule,k,n_diff,cos_x_med,cos_x_p10,sign_agree,cos_y_med,cos_y_p10,cos_y_std,cos_x_std,rel_norm_med,rel_norm_std,pass
10D,late,kcenter_mean2,32,30.398333333333333,0.9974843973589523,0.9466556749967063,0.9383333333333332,1.0,1.0,0.0,0.02926910215464886,0.07180052995681763,0.1255685769642393,True
10D,late,kcenter_mean2,64,57.70166666666667,0.9990998240785725,0.9754143638725552,0.9600000000000001,1.0,1.0,0.0,0.011250557410676265,0.04286416620016098,0.07708852586025992,True
10D,all,uniform,8,8.0,0.9730263736349285,0.34602048946867836,0.844090909090909,1.0,1.0,0.3268298636783253,0.26756031604229724,0.405299574136734,0.7090144979682835,False
10D,all,uniform,16,16.0,0.9874785148909606,0.7079432800952253,0.8886363636363637,1.0,1.0,0.1569799840450287,0.1634104692416837,0.2784731686115265,0.48855058042840527,False
10D,all,uniform,32,32.0,0.994864297153395,0.8618054302990682,0.915,1.0,1.0,0.08277386697855862,0.10338273151428438,0.18761210143566132,0.32857260622761464,True
10D,all,uniform,64,64.0,0.9981284507447368,0.9573720695112656,0.9586363636363636,1.0,1.0,0.03267149491743608,0.04146546652675831,0.10919435322284698,0.19493609812449325,True
10D,all,importance,8,7.734090909090909,0.9773827866249704,0.40770533459689456,0.8518181818181818,1.0,1.0,0.2789623656056144,0.2442647245474456,0.3316616117954254,0.5844704554839568,False
10D,all,importance,16,14.89090909090909,0.989136432361388,0.6767961806995053,0.8818181818181818,1.0,1.0,0.1384065563028509,0.15133598425911093,0.216903418302536,0.4082220500843091,False
10D,all,importance,32,27.763181818181817,0.9947743892127947,0.8530790929326408,0.92,1.0,1.0,0.06494653766805475,0.10341947072824538,0.16620011627674103,0.29737509848041965,True
10D,all,importance,64,48.306363636363635,0.9974499743270749,0.9361608372871141,0.9463636363636363,1.0,1.0,0.056046410582282324,0.06637119271601312,0.11544761806726456,0.21727236116474324,True
10D,all,kcenter,8,8.0,0.9834004035468185,0.7637985906629781,0.895,1.0,1.0,0.0,0.10388939898548415,0.19397345185279846,0.29660836004398083,False
10D,all,kcenter,16,16.0,0.9920337385986866,0.8715222540906225,0.9095454545454545,1.0,1.0,0.0,0.0643566225584271,0.11732671409845352,0.20505004769021815,True
10D,all,kcenter,32,32.0,0.9966844741947889,0.9382598716092951,0.9481818181818181,1.0,1.0,0.0,0.03105751942493126,0.07660547643899918,0.13316931255500425,True
