setting,d,m,n,candidate,D,feat_seeds,x_draws,loss_rel_err,grad_cos,grad_norm_rel_err,seed_loss_cv,seed_grad_cos,wall_ms,wall_ratio_vs_ref,cost_model,cost_ratio_vs_cachedYY,peak_mem_mb,rss_mb
synth_d1,1,250,4,reference,,1,4,0.0,1.0,0.0,0.0,1.0,1.9013748969882727,1.0203706966242716,387096,63.5,3.096768,327.265625
synth_d1,1,250,4,exact_cachedYY,,1,4,2.273442110420858e-15,1.0,9.50612431088713e-16,0.0,1.0,0.17312495037913322,0.09290730960065273,6096,1.0,0.048,327.390625
synth_d1,1,250,4,rff,16,6,4,0.2894926098545435,0.8945915230232541,0.40342370537556044,0.3279444532985693,0.8190175683777801,0.05375011824071407,0.028844940405907057,560,0.09186351706036745,0.005152,327.71875
synth_d1,1,250,4,rff,64,6,4,0.11104006234200989,0.9651211732754619,0.17944881938685694,0.11077862377467307,0.9309256196855596,0.05933293141424656,0.03184095080660377,2240,0.3674540682414698,0.020512,327.71875
synth_d1,1,250,4,rff,256,6,4,0.06611128298784828,0.9752579318612711,0.08992418589887567,0.06978676945289466,0.9436727835340425,0.1343749463558197,0.07211216359231368,8960,1.4698162729658792,0.081952,328.0625
synth_d1,1,250,4,rff,1024,6,4,0.027117723593214182,0.9943469532405386,0.04171119918300299,0.03240574609086341,0.98756049123765,0.25254208594560623,0.1355264259412668,35840,5.879265091863517,0.327712,362.46875
synth_d1,1,250,4,nystrom,16,6,4,0.0019263688771495597,0.9999763087074015,0.005584137243324701,0.0010438986352017678,0.999987188905632,0.17004203982651234,0.09125286912539937,5504,0.9028871391076115,0.004608,362.859375
synth_d1,1,250,4,nystrom,64,6,4,0.0005466053682880014,0.9999976802808156,0.0016117765656722862,0.00019119810181137875,0.9999992827600391,0.18554087728261948,0.09957030278722179,83456,13.69028871391076,0.043008,363.046875
synth_d1,1,250,4,subsample,16,6,4,0.4605129942257335,0.9109515896202853,0.28078283744448507,0.5894150202729787,0.8128623802273411,0.10716705583035946,0.05751107979073658,480,0.07874015748031496,0.00256,363.078125
synth_d1,1,250,4,subsample,64,6,4,0.1373995108293189,0.9707011973538279,0.08552418020695701,0.17413844990083482,0.9410096329901302,0.11925003491342068,0.06399539690453075,1632,0.2677165354330709,0.01024,363.078125
synth_d1,1,250,4,sliced_w2,1,1,4,29.269036914519845,0.642677631544623,64.76092072694627,0.0,1.0,0.052416929975152016,0.02812948642499166,12,0.001968503937007874,0.002032,363.40625
synth_d1,1,250,4,population_gmm,,1,4,0.0062964328775249835,0.9989959232259371,0.024979745614523034,0.0,1.0,0.5815830081701279,0.3121058661978606,136,0.02230971128608924,0.000992,363.75
synth_d1,1,250,4,tab_kme_1d,2048,1,4,7.049134362485128e-05,0.9998463559538888,0.009640669447158854,0.0,1.0,0.09395810775458813,0.050422512685376425,128,0.02099737532808399,0.017024,406.84375
synth_d1,1,250,8,reference,,1,4,0.0,0.9999999999999999,0.0,0.0,1.0,1.977166160941124,1.040453866673724,399384,32.25,3.195072,406.859375
synth_d1,1,250,8,exact_cachedYY,,1,4,8.710749660910674e-15,0.9999999999999999,5.001186890122968e-16,0.0,1.0,0.17874990589916706,0.09406444153981797,12384,1.0,0.096,406.875
synth_d1,1,250,8,rff,16,6,4,0.3762267170411436,0.9316248858168343,0.4018310524763121,0.43317271698681586,0.8859584436805139,0.06204191595315933,0.032648622368989175,1040,0.08397932816537468,0.010304,406.875
synth_d1,1,250,8,rff,64,6,4,0.14964827414535037,0.9777765070369783,0.1722612654718905,0.16753150829386435,0.9585371374985918,0.0715409405529499,0.03764734077198698,4160,0.3359173126614987,0.041024,406.875
synth_d1,1,250,8,rff,256,6,4,0.10526800689569536,0.9890530841023698,0.10989989677796354,0.11209939771042392,0.9745113669166312,0.1724578905850649,0.09075336339572726,16640,1.3436692506459949,0.163904,406.890625
synth_d1,1,250,8,rff,1024,6,4,0.03528114075275531,0.9977042106663819,0.03980184085200348,0.04104308991034337,0.9949343587484862,0.3663329407572746,0.19277718394666205,66560,5.374677002583979,0.655424,416.859375
synth_d1,1,250,8,nystrom,16,6,4,0.0022096789721884934,0.9999555273568393,0.0068988709422467724,0.0012711443514279704,0.9999787589081718,0.1727091148495674,0.09088556637520749,11008,0.8888888888888888,0.007168,416.875
synth_d1,1,250,8,nystrom,64,6,4,0.0006197837089098584,0.9999956301545847,0.002036566577937174,0.0002064996715464735,0.9999988490978183,0.2035840880125761,0.10713305525373905,166912,13.478036175710594,0.053248,417.046875
synth_d1,1,250,8,subsample,16,6,4,0.6541408616400876,0.8712885267517511,0.3662207555469449,0.8137054172758967,0.7403270342452781,0.09787501767277718,0.05150525160714224,1152,0.09302325581395349,0.00512,417.046875
synth_d1,1,250,8,subsample,64,6,4,0.26036337430577033,0.9684721159212157,0.12719490901403618,0.3286629943844238,0.9360489000337958,0.1468330156058073,0.07726865948874327,3456,0.27906976744186046,0.02048,417.046875
synth_d1,1,250,8,sliced_w2,1,1,4,30.808091814374343,0.5239907172099617,43.999484914007574,0.0,1.0,0.04974985495209694,0.02618011069273381,32,0.002583979328165375,0.002064,417.046875
synth_d1,1,250,8,population_gmm,,1,4,0.023992060893432962,0.9971962617158329,0.019474680971919775,0.0,1.0,0.579749932512641,0.30508465646584065,464,0.037467700258397935,0.003264,417.078125
synth_d1,1,250,8,tab_kme_1d,2048,1,4,0.000736852263875181,0.999361142054322,0.01051630480198994,0.0,1.0,0.08629192598164082,0.04540982433544417,448,0.03617571059431524,0.018944,417.078125
synth_d1,1,250,32,reference,,1,4,0.0,1.0,0.0,0.0,1.0,2.263082889840007,0.9928157764262678,477144,8.8125,3.817152,421.28125
synth_d1,1,250,32,exact_cachedYY,,1,4,1.7737287610793944e-14,1.0000000000000002,4.1290863877728733e-16,0.0,1.0,0.5119580309838057,0.22459628514304403,54144,1.0,0.384,421.28125
synth_d1,1,250,32,rff,16,6,4,0.3160080013715109,0.9888208103789886,0.38679876240623856,0.354406166451708,0.9821050262782103,0.06770901381969452,0.029703983635884123,3920,0.07239952718676122,0.041216,421.28125
synth_d1,1,250,32,rff,64,6,4,0.11366203125135661,0.996756807388368,0.15578689661896072,0.12130662316344766,0.9939462387103805,0.19162497483193874,0.084065987606793,15680,0.2895981087470449,0.164096,421.28125
synth_d1,1,250,32,rff,256,6,4,0.07390977795999816,0.9990751643489787,0.10212014541253302,0.07983580399914648,0.9978542339135447,0.3771660849452019,0.16546298023268569,62720,1.1583924349881796,0.655616,421.453125
synth_d1,1,250,32,rff,1024,6,4,0.02943815147118956,0.9998440217009208,0.03606959878248482,0.03400703065668144,0.9996503520682337,1.1347499676048756,0.4978154689760232,250880,4.633569739952718,2.621696,427.625
synth_d1,1,250,32,nystrom,16,6,4,0.001297764284265676,0.9999834900985597,0.004426556919874061,0.0007587610626127326,0.9999874934434486,0.20366697572171688,0.08934882038184708,44032,0.8132387706855791,0.022528,427.640625
synth_d1,1,250,32,nystrom,64,6,4,0.0003173745687872566,0.9999989473488564,0.0011855631613695943,0.00014411364446290068,0.9999993317665719,0.23879087530076504,0.10475769550005198,667648,12.33096926713948,0.114688,427.703125
synth_d1,1,250,32,subsample,16,6,4,1.7758473960486887,0.8306485102359185,0.25991632015400234,33.68871945660287,0.6994201587655176,0.18879189155995846,0.0828231123321051,9216,0.1702127659574468,0.02048,427.703125
synth_d1,1,250,32,subsample,64,6,4,0.5846345987452874,0.9781324983276786,0.0785568660825123,0.6909854497929093,0.9501701460314687,0.22620800882577896,0.09923758467904953,18432,0.3404255319148936,0.08192,427.703125
synth_d1,1,250,32,sliced_w2,1,1,4,98.33295887472457,0.34214494805861073,30.33695186931291,0.0,1.0,0.053957803174853325,0.023671319549892843,192,0.0035460992907801418,0.002256,427.703125
synth_d1,1,250,32,population_gmm,,1,4,0.048226173784948256,0.9987955697434157,0.04821345534797335,0.0,1.0,0.6795411463826895,0.2981150950715828,6464,0.11938534278959811,0.043776,427.75
