commit,candidate,task,target,seed,config,hardware,dtype,wall_s,peak_mem_mb,score_calls,cond_calls,cond_samples,opt_loss,eval_metric,status
6af2081,A4:crn,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.644,778,,792,792,0.02232,0.5344,diverged=0;success=0.00
6af2081,A4:norm_only,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.760,778,,792,792,0.207,0.5660,diverged=0;success=0.00
6af2081,A4:qclip0.5,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.701,789,,792,792,0.2104,0.5370,diverged=0;success=0.00
6af2081,A4:qclip0.75,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.666,790,,792,792,0.1901,0.5558,diverged=0;success=0.00
6af2081,A4:recur2_next_state_tweedie,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,1.330,789,,1584,1584,0.1857,0.5810,diverged=0;success=0.00
6af2081,A4:relclip0.5,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.684,789,,792,792,0.2616,0.5297,diverged=0;success=0.00
6af2081,A4:relclip1,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.768,797,,792,792,0.2104,0.5370,diverged=0;success=0.00
6af2081,A4:relclip2,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.682,795,,792,792,0.1966,0.5350,diverged=0;success=0.00
6af2081,A4:relclip_ema0.5,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.685,795,,792,792,0.2341,0.5186,diverged=0;success=0.00
6af2081,A4:relclip_ema1,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.682,797,,792,792,0.2167,0.5296,diverged=0;success=0.00
6af2081,A4:relclip_ema2,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.588,797,,792,792,0.1928,0.5058,diverged=0;success=0.00
6af2081,A4:sqrt_abs_eps,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.671,782,,792,792,0.1596,0.5012,diverged=0;success=0.00
6af2081,A4:sqrt_floor,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.669,782,,792,792,0.1545,0.4885,diverged=0;success=0.00
6af2081,A4:sqrtfloor_clip0.1,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.706,783,,792,792,0.4482,0.4382,diverged=0;success=0.00
6af2081,A4:sqrtfloor_clip0.5,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.700,776,,792,792,0.1627,0.4982,diverged=0;success=0.00
6af2081,A4:sqrtfloor_relclip1,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.716,781,,792,792,0.1884,0.5435,diverged=0;success=0.00
6af2081,A4:stale2,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.395,784,,400,400,0.2352,0.7407,diverged=2;success=0.00
6af2081,A4:stale3,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.268,726,,264,264,0.2539,0.9084,diverged=7;success=0.00
6af2081,A4:trust_ddim0.1,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.707,789,,792,792,1.364,0.9137,diverged=0;success=0.00
6af2081,A4:trust_ddim0.3,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.664,785,,792,792,1.159,0.5233,diverged=0;success=0.00
6af2081,A4:trust_ddim1,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.694,781,,792,792,0.7824,0.4045,diverged=0;success=0.00
6af2081,A4:trust_noise0.1,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.782,784,,792,792,0.7143,0.4217,diverged=0;success=0.00
6af2081,A4:trust_noise0.3,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.719,787,,792,792,0.2459,0.4391,diverged=0;success=0.00
6af2081,A4:trust_noise1,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.763,788,,792,792,0.194,0.4640,diverged=0;success=0.00
6af2081,A4:unit0.1,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.732,783,,792,792,0.7079,0.4278,diverged=0;success=0.00
6af2081,A4:unit0.4,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=8;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.627,791,,792,792,0.2299,0.5280,diverged=0;success=0.00
6af2081,A4:baseline,synthetic_5D,S_G_250_seed987654,restarts_0..39,n=96;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,1.239,804,,9504,9504,0.06112,0.4350,diverged=0;success=0.00
