commit,candidate,task,target,seed,config,hardware,dtype,wall_s,peak_mem_mb,score_calls,cond_calls,cond_samples,opt_loss,eval_metric,status
6af2081+P,trust_noise1,5D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,25.073174400022253,792.6640625,,792,792,,0.46395385769718517,ok
6af2081+P,trust_noise1,5D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,30.296053924015723,783.4296875,,3168,3168,,0.4316193905173934,ok
6af2081+P,precond_cov,5D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,28.172372818924487,775.5703125,,396,396,,0.567797373773221,ok
6af2081+P,precond_cov,5D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,22.939225982001517,783.0625,,792,792,,0.520852737308747,ok
6af2081+P,precond_cov,5D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,31.281539440969937,786.4765625,,3168,3168,,0.44436824538857067,ok
6af2081+P,precond_cov_trust,5D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,28.202575369738042,774.62109375,,396,396,,0.4618812210722987,ok
6af2081+P,precond_cov_trust,5D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,26.32057248899946,779.484375,,792,792,,0.44839059763641326,ok
6af2081+P,precond_cov_trust,5D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,32.290900297113694,790.58984375,,3168,3168,,0.41828092738814526,ok
6af2081+P,precond_diag,5D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,26.883529261685908,776.94921875,,396,396,,0.6114753608740622,ok
6af2081+P,precond_diag,5D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,26.007500656007323,781.93359375,,792,792,,0.5395671380407048,ok
6af2081+P,precond_diag,5D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,30.772542804013938,788.703125,,3168,3168,,0.4533337619301327,ok
6af2081+P,precond_diag_trust,5D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,27.43900307500735,776.26953125,,396,396,,0.531275164597927,ok
6af2081+P,precond_diag_trust,5D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,25.957201679993887,780.48046875,,792,792,,0.45361071890616644,ok
6af2081+P,precond_diag_trust,5D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,31.56790906493552,787.69140625,,3168,3168,,0.4284045242130824,ok
6af2081+P,precond_sign,5D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,27.151618416886777,778.78125,,396,396,,0.556202782927595,ok
6af2081+P,precond_sign,5D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,26.220658357982757,783.75390625,,792,792,,0.531940964398397,ok
6af2081+P,precond_sign,5D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,31.556551999994554,786.3203125,,3168,3168,,0.44244969003293655,ok
6af2081+P,precond_sign_trust,5D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,27.34849313693121,778.48046875,,396,396,,0.5043303807643846,ok
6af2081+P,precond_sign_trust,5D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,25.595581772038713,788.2421875,,792,792,,0.4832558514430521,ok
6af2081+P,precond_sign_trust,5D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,31.344686593976803,784.39453125,,3168,3168,,0.4351584593791139,ok
6af2081+P,precond_median,5D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,26.844991125166416,780.7109375,,396,396,,0.6934507189687833,ok
6af2081+P,precond_median,5D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,28.70823248103261,785.30859375,,792,792,,0.6222909842988928,ok
6af2081+P,precond_median,5D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,30.847724934108555,781.52734375,,3168,3168,,0.49131770883761644,ok
6af2081+P,precond_median_trust,5D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,27.13596384972334,778.06640625,,396,396,,0.6349044467131967,ok
6af2081+P,precond_median_trust,5D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,29.415247117052786,784.22265625,,792,792,,0.6072273513133086,ok
6af2081+P,precond_median_trust,5D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,32.69731322629377,781.46875,,3168,3168,,0.490380570130974,ok
6af2081+P,baseline,10D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,26.485845854040235,773.6875,,396,396,,0.6206993090400891,ok
6af2081+P,baseline,10D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,27.582197335083038,775.0625,,792,792,,0.6151114031947583,ok
6af2081+P,baseline,10D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,29.291434789978666,785.5390625,,3168,3168,,0.4935145086512146,ok
6af2081+P,trust_noise1,10D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,26.957512619439512,772.58984375,,396,396,,0.6301650265754801,ok
6af2081+P,trust_noise1,10D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,28.312286030035466,776.19921875,,792,792,,0.521515796969374,ok
6af2081+P,trust_noise1,10D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,30.750842510984512,789.58203125,,3168,3168,,0.45591435334749714,ok
6af2081+P,precond_cov,10D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,27.767177163157612,772.55859375,,396,396,,0.6559469303977642,ok
6af2081+P,precond_cov,10D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,30.92816682602279,790.0859375,,792,792,,0.63879484254986,ok
6af2081+P,precond_cov,10D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,31.306741893989965,785.9453125,,3168,3168,,0.5883761746417313,ok
6af2081+P,precond_cov_trust,10D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,28.26705858297646,770.4140625,,396,396,,0.5775822212281438,ok
6af2081+P,precond_cov_trust,10D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,32.675560946110636,787.8984375,,792,792,,0.6016079176274987,ok
6af2081+P,precond_cov_trust,10D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,31.781458616955206,786.203125,,3168,3168,,0.5609634528124563,ok
6af2081+P,precond_diag,10D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,27.43339288374409,773.875,,396,396,,0.6954561762706233,ok
