-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               aten::threshold_backward         0.63%       1.789ms         0.63%       1.789ms       1.204us       5.80 MB       5.80 MB          1485  
                                              aten::add         2.28%       6.450ms         3.00%       8.502ms       1.827us       4.24 MB       4.23 MB          4654  
                                              aten::cat         0.59%       1.684ms         0.64%       1.812ms       1.828us       2.63 MB       2.63 MB           991  
                                              aten::cos         0.35%     996.329us         0.35%     996.329us       1.675us     996.98 KB     996.98 KB           595  
                                              aten::sin         0.33%     935.202us         0.33%     935.202us       1.574us     996.19 KB     996.19 KB           594  
                                          aten::sigmoid         0.42%       1.195ms         0.42%       1.195ms       1.724us     346.50 KB     346.50 KB           693  
                                 aten::sigmoid_backward         0.24%     687.134us         0.24%     687.134us       0.992us     346.50 KB     346.50 KB           693  
                                          aten::resize_         0.11%     323.163us         0.11%     323.163us       0.465us     262.25 KB     262.25 KB           695  
                                              aten::sub         0.79%       2.226ms         1.29%       3.655ms       2.302us     220.88 KB     217.01 KB          1588  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 283.010ms
