commit,candidate,task,target,seed,config,hardware,dtype,wall_s,peak_mem_mb,score_calls,cond_calls,cond_samples,opt_loss,eval_metric,status
6af2081,baseline,synthetic_2D,S_G250_seed987654,2,spatial=lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5100,351.8,99,297,2376,1.31881,0.818923,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,3,spatial=lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5155,351.8,99,297,2376,0.597037,0.0526995,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,4,spatial=lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5101,351.8,99,297,2376,0.0210161,0.0304021,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,0,spatial=lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5951,351.8,99,297,9504,0.0676305,0.187237,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,1,spatial=lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5865,351.8,99,297,9504,0.0544765,0.23573,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,2,spatial=lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.6014,351.8,99,297,9504,0.0539055,0.277087,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,3,spatial=lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5877,351.8,99,297,9504,0.191254,0.236147,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,4,spatial=lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5887,351.8,99,297,9504,0.149553,0.250351,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1823,330.6,99,99,792,0.358924,0.410769,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,1,spatial=no_lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1827,330.6,99,99,792,0.293794,1.08664,ok
