-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::mul         7.62%      24.977ms         9.17%      30.071ms       3.615us     216.01 MB     215.87 MB          8318  
                                              aten::div         7.46%      24.441ms         7.60%      24.919ms      15.682us     357.44 MB     357.44 MB          1589  
                                              aten::exp         6.30%      20.656ms         6.30%      20.656ms      29.807us     150.29 MB     150.29 MB           693  
                                            aten::addmm         6.27%      20.549ms         8.17%      26.769ms       5.878us      47.10 MB      47.10 MB          4554  
                                              aten::neg         5.28%      17.299ms         5.28%      17.299ms      21.843us     300.33 MB     300.33 MB           792  
                                              aten::sum         4.97%      16.278ms         6.45%      21.157ms      21.371us      60.49 MB      60.49 MB           990  
                                            aten::copy_         4.31%      14.139ms         4.31%      14.139ms       1.115us           0 B           0 B         12676  
                                            aten::fill_         4.18%      13.699ms         4.18%      13.699ms       6.915us           0 B           0 B          1981  
                                               aten::mm         4.14%      13.563ms         4.24%      13.898ms       3.052us      69.90 MB      69.90 MB          4554  
                                           PowBackward0         2.56%       8.391ms         5.02%      16.468ms     166.343us      30.03 MB     -60.07 MB            99  
    autograd::engine::evaluate_function: AddmmBackward0         2.21%       7.235ms         8.28%      27.147ms       6.377us     -15.96 MB     -55.66 MB          4257  
                                              aten::add         2.19%       7.175ms         2.86%       9.379ms       2.015us      16.07 MB      16.07 MB          4654  
    autograd::engine::evaluate_function: SliceBackward0         2.18%       7.151ms         8.77%      28.759ms      48.415us       3.02 MB    -120.52 MB           594  
                                                aten::t         1.90%       6.238ms         3.20%      10.473ms       1.189us           0 B           0 B          8811  
                                             aten::add_         1.73%       5.665ms         1.73%       5.665ms       2.488us           0 B           0 B          2277  
      autograd::engine::evaluate_function: DivBackward0         1.62%       5.312ms         5.67%      18.578ms      93.826us    -120.13 MB    -300.33 MB           198  
                                              aten::pow         1.53%       5.012ms         2.33%       7.653ms       4.822us      60.40 MB      60.40 MB          1587  
                                         AddmmBackward0         1.41%       4.616ms         5.86%      19.219ms       4.515us      39.65 MB           0 B          4257  
