-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               aten::threshold_backward         1.12%       5.978ms         1.12%       5.978ms       1.342us      69.61 MB      69.61 MB          4455  
                                              aten::add         2.28%      12.162ms         2.99%      15.950ms       1.289us      47.61 MB      47.59 MB         12376  
                                              aten::cat         0.65%       3.457ms         0.68%       3.642ms       1.268us      25.46 MB      25.46 MB          2872  
                                               aten::eq         1.25%       6.680ms         1.33%       7.109ms      14.361us      22.52 MB      22.52 MB           495  
                                              aten::cos         0.87%       4.627ms         0.87%       4.627ms       2.919us      11.61 MB      11.61 MB          1585  
                                              aten::sin         0.75%       3.987ms         0.75%       3.987ms       2.517us      11.61 MB      11.61 MB          1584  
                                              aten::sub         0.63%       3.370ms         1.03%       5.514ms       1.636us     848.91 KB     841.18 KB          3370  
                                          aten::resize_         0.10%     540.126us         0.10%     540.126us       0.287us     760.34 KB     760.34 KB          1883  
                                    aten::empty_strided         0.94%       4.993ms         0.94%       4.993ms       0.241us     631.93 KB     631.93 KB         20695  
                                          aten::sigmoid         0.17%     884.252us         0.17%     884.252us       1.276us     346.50 KB     346.50 KB           693  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 532.799ms
