-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::mul         8.03%      13.791ms         9.68%      16.637ms       2.000us     215.99 MB     215.85 MB          8318  
                                              aten::div         7.30%      12.544ms         7.48%      12.846ms       8.084us     357.44 MB     357.44 MB          1589  
                                            aten::addmm         7.20%      12.373ms         9.35%      16.066ms       3.528us      47.10 MB      47.10 MB          4554  
                                              aten::exp         6.03%      10.368ms         6.03%      10.368ms      14.961us     150.29 MB     150.29 MB           693  
                                              aten::sum         5.07%       8.720ms         6.64%      11.413ms      11.528us      60.49 MB      60.49 MB           990  
                                               aten::mm         4.96%       8.523ms         5.09%       8.742ms       1.920us      69.41 MB      69.41 MB          4554  
                                              aten::neg         4.95%       8.506ms         4.95%       8.506ms      10.740us     300.33 MB     300.33 MB           792  
                                            aten::copy_         4.94%       8.492ms         4.94%       8.492ms       0.665us           0 B           0 B         12775  
                                            aten::fill_         4.40%       7.561ms         4.40%       7.561ms       4.018us           0 B           0 B          1882  
    autograd::engine::evaluate_function: AddmmBackward0         2.56%       4.390ms         9.58%      16.453ms       3.865us     -16.05 MB     -55.27 MB          4257  
                                              aten::add         2.49%       4.277ms         3.26%       5.600ms       1.203us      16.07 MB      16.06 MB          4654  
                                                aten::t         2.12%       3.637ms         3.45%       5.926ms       0.665us           0 B           0 B          8910  
                                             aten::add_         1.96%       3.369ms         1.96%       3.369ms       1.480us           0 B           0 B          2277  
                                              aten::pow         1.52%       2.614ms         2.34%       4.022ms       2.535us      60.40 MB      60.40 MB          1587  
                                         AddmmBackward0         1.48%       2.538ms         6.76%      11.608ms       2.727us      39.17 MB           0 B          4257  
    autograd::engine::evaluate_function: SliceBackward0         1.27%       2.177ms         8.24%      14.166ms      23.848us       3.02 MB    -120.52 MB           594  
                                           PowBackward0         1.21%       2.087ms         3.92%       6.733ms      68.005us      30.03 MB     -60.07 MB            99  
                                               aten::eq         1.18%       2.036ms         1.25%       2.154ms      10.880us       7.51 MB       7.51 MB           198  
                                       aten::as_strided         1.12%       1.928ms         1.12%       1.928ms       0.095us           0 B           0 B         20300  
