commit,candidate,task,target,seed,config,hardware,dtype,wall_s,wall_all,wall_per_restart_s,restarts_per_s,peak_mem_mb,score_calls,cond_calls,cond_samples,end2end_max_abs,step_grad_max_abs,status
6af2081,sys:reference(_guided.run),synthetic_2D,S_G250_seed987654,0,spatial=lgd;temporal=none;n=8;B=1;,arm64-cpu-4thr,float32,0.7406,0.5755|0.6062|0.7406|0.8525|0.8082,0.7406,1.350,445.4,99,297,2376,0.000e+00,0.000e+00,ok
6af2081,sys:generator_seed,synthetic_2D,S_G250_seed987654,0,spatial=lgd;temporal=none;n=8;B=1;,arm64-cpu-4thr,float32,0.6860,0.6860|0.6842|0.6668|0.7121|0.8548,0.6860,1.458,445.8,99,297,2376,0.000e+00,0.000e+00,ok
6af2081,sys:frozen_params,synthetic_2D,S_G250_seed987654,0,spatial=lgd;temporal=none;n=8;B=1;,arm64-cpu-4thr,float32,0.9145,0.9883|0.9145|0.7717|0.9343|0.7704,0.9145,1.094,447.1,99,297,2376,0.000e+00,0.000e+00,ok
6af2081,sys:batched_lgd,synthetic_2D,S_G250_seed987654,0,spatial=lgd;temporal=none;n=8;B=1;,arm64-cpu-4thr,float32,0.5364,0.5417|0.5573|0.5315|0.5364|0.5269,0.5364,1.864,447.2,99,297,2376,0.000e+00,0.000e+00,ok
6af2081,sys:batched_mmd(+batched_lgd),synthetic_2D,S_G250_seed987654,0,spatial=lgd;temporal=none;n=8;B=1;,arm64-cpu-4thr,float32,0.1655,0.1661|0.1655|0.1655|0.1637|0.1741,0.1655,6.041,447.2,99,297,2376,1.193e-01,1.013e-06,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0,spatial=lgd;temporal=none;n=8;B=1;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.1606,0.1606|0.1607|0.1638|0.1564|0.1412,0.1606,6.225,447.6,99,297,2376,4.864e-02,1.013e-06,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0;1,spatial=lgd;temporal=none;n=8;B=2;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.1737,0.1656|0.1737|0.1689|0.1748|0.1785,0.0869,11.514,447.6,198,594,4752,1.200e-01,9.429e-05,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0;1;2;3,spatial=lgd;temporal=none;n=8;B=4;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.2174,0.2453|0.2207|0.2154|0.2148|0.2174,0.0544,18.395,447.6,396,1188,9504,1.276e-01,9.429e-05,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0;1;2;3,spatial=lgd;temporal=none;n=8;B=8;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.3079,0.3125|0.3047|0.3045|0.3079|0.3082,0.0385,25.982,447.6,792,2376,19008,1.276e-01,9.429e-05,ok
6af2081,sys:batched_restarts+lean_ddim,synthetic_2D,S_G250_seed987654,0;1;2;3,spatial=lgd;temporal=none;n=8;B=8;batched_lgd=1;batched_mmd=1;lean_ddim=1,arm64-cpu-4thr,float32,0.2962,0.2914|0.2962|0.3014|0.2988|0.2960,0.0370,27.010,447.6,792,2376,19008,1.276e-01,,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0;1;2;3,spatial=lgd;temporal=none;n=8;B=16;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.6668,0.5603|0.5983|0.6774|1.0536|0.6668,0.0417,23.996,447.6,1584,4752,38016,1.276e-01,9.429e-05,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0;1;2;3,spatial=lgd;temporal=none;n=8;B=32;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.9529,0.9529|1.1654|1.4455|0.9413|0.8689,0.0298,33.582,462.4,3168,9504,76032,2.824e-01,4.244e-05,ok
6af2081,sys:float64_throughout,synthetic_2D,S_G250_seed987654,0,spatial=lgd;temporal=none;n=8;B=1;,arm64-cpu-4thr,float64,0.8317,0.8437|0.8314|0.8197|0.8317|0.8350,0.8317,1.202,462.4,99,297,2376,1.199e-01,,changes_numerics(float64)
6af2081,sys:reference(_guided.run),synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=adam;n=8;B=1;,arm64-cpu-4thr,float32,0.1895,0.1895|0.1868|0.1864|0.1974|0.1942,0.1895,5.278,462.4,99,99,792,0.000e+00,0.000e+00,ok
6af2081,sys:generator_seed,synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=adam;n=8;B=1;,arm64-cpu-4thr,float32,0.1826,0.1809|0.1826|0.1929|0.1864|0.1824,0.1826,5.477,462.4,99,99,792,0.000e+00,0.000e+00,ok
6af2081,sys:frozen_params,synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=adam;n=8;B=1;,arm64-cpu-4thr,float32,0.2014,0.2709|0.2136|0.1975|0.1929|0.2014,0.2014,4.964,462.4,99,99,792,0.000e+00,0.000e+00,ok
6af2081,sys:batched_mmd(+batched_lgd),synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=adam;n=8;B=1;,arm64-cpu-4thr,float32,0.1078,0.1083|0.1076|0.1078|0.1078|0.1092,0.1078,9.278,462.4,99,99,792,7.153e-06,1.192e-06,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=adam;n=8;B=1;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.1119,0.1137|0.1119|0.1123|0.1118|0.1116,0.1119,8.936,462.6,99,99,792,7.153e-06,1.192e-06,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0;1,spatial=no_lgd;temporal=adam;n=8;B=2;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.1329,0.1342|0.1322|0.1328|0.1329|0.1334,0.0665,15.046,462.6,198,198,1584,1.120e+00,6.348e-06,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0;1;2;3,spatial=no_lgd;temporal=adam;n=8;B=4;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.1528,0.1528|0.1528|0.1528|0.1527|0.1546,0.0382,26.175,462.6,396,396,3168,1.675e+00,3.111e-05,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0;1;2;3,spatial=no_lgd;temporal=adam;n=8;B=8;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.1857,0.1822|0.1857|0.1882|0.1866|0.1841,0.0232,43.084,462.6,792,792,6336,1.675e+00,3.111e-05,ok
6af2081,sys:batched_restarts+lean_ddim,synthetic_2D,S_G250_seed987654,0;1;2;3,spatial=no_lgd;temporal=adam;n=8;B=8;batched_lgd=1;batched_mmd=1;lean_ddim=1,arm64-cpu-4thr,float32,0.1767,0.1775|0.1818|0.1766|0.1764|0.1767,0.0221,45.282,462.6,792,792,6336,1.675e+00,,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0;1;2;3,spatial=no_lgd;temporal=adam;n=8;B=16;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.2267,0.2260|0.2248|0.2336|0.2358|0.2267,0.0142,70.592,462.6,1584,1584,12672,1.675e+00,3.111e-05,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0;1;2;3,spatial=no_lgd;temporal=adam;n=8;B=32;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.3522,0.3483|0.3545|0.3522|0.3520|0.3605,0.0110,90.860,462.6,3168,3168,25344,2.175e+00,3.111e-05,ok
6af2081,sys:float64_throughout,synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=adam;n=8;B=1;,arm64-cpu-4thr,float64,0.2969,0.2969|0.3053|0.3075|0.2954|0.2927,0.2969,3.368,462.6,99,99,792,1.124e+00,,changes_numerics(float64)
6af2081,sys:torch.compile[default],synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=8;B=1;first_call_incl_compile_s=15.99,arm64-cpu-4thr,float32,0.2432,0.2667|0.2319|0.2366|0.2507|0.2432,0.2432,4.111,626.7,99,99,792,1.097e-05,,ok
6af2081,sys:batched_restarts[mps],synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=8;B=1;,arm64-cpu-4thr,float32,1.0065,0.9914|1.0137|1.0032|1.0180|1.0065,1.0065,0.994,702.2,99,99,792,4.768e-07,,"ok(mps,float32)"
6af2081,sys:batched_restarts[mps],synthetic_2D,S_G250_seed987654,0;1;2;3,spatial=no_lgd;temporal=none;n=8;B=8;,arm64-cpu-4thr,float32,1.2810,1.2810|1.2218|1.2780|1.3889|1.4446,0.1601,6.245,733.1,792,792,6336,1.090e+01,,"ok(mps,float32)"
6af2081,sys:batched_restarts[mps],synthetic_2D,S_G250_seed987654,0;1;2;3,spatial=no_lgd;temporal=none;n=8;B=32;,arm64-cpu-4thr,float32,1.3098,1.5071|1.3098|1.3221|1.2374|1.2799,0.0409,24.431,760.3,3168,3168,25344,5.801e+00,,"ok(mps,float32)"
